seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
259,signed,330259,130.000,3,79,1787088388.461
260,unsigned,,88.000,255,7,1787088388.553
260,signed,330260,130.000,3,79,1787088388.686
261,unsigned,,91.000,255,7,1787088388.779
261,signed,330261,130.000,3,79,1787088388.912
262,unsigned,,92.000,255,7,1787088389.008
262,signed,330262,131.000,3,79,1787088389.142
263,unsigned,,92.000,255,7,1787088389.237
263,signed,330263,129.000,3,79,1787088389.368
264,unsigned,,91.000,255,7,1787088389.462
264,signed,330264,130.000,3,79,1787088389.595
265,unsigned,,91.000,255,7,1787088389.689
265,signed,330265,129.000,3,79,1787088389.821
266,unsigned,,89.000,255,7,1787088389.912
266,signed,330266,129.000,3,79,1787088390.043
267,unsigned,,90.000,255,7,1787088390.135
267,signed,330267,130.000,3,79,1787088390.268
268,unsigned,,92.000,255,7,1787088390.363
268,signed,330268,130.000,3,79,1787088390.496
269,unsigned,,90.000,255,7,1787088390.588
269,signed,330269,130.000,3,79,1787088390.722
270,unsigned,,90.000,255,7,1787088390.816
270,signed,330270,129.000,3,79,1787088390.948
271,unsigned,,87.000,255,7,1787088391.040
271,signed,330271,128.000,3,79,1787088391.171
272,unsigned,,92.000,255,7,1787088391.265
272,signed,330272,127.000,3,79,1787088391.396
273,unsigned,,91.000,255,7,1787088391.490
273,signed,330273,129.000,3,79,1787088391.623
274,unsigned,,90.000,255,7,1787088391.717
274,signed,330274,131.000,3,79,1787088391.852
275,unsigned,,89.000,255,7,1787088391.943
275,signed,330275,130.000,3,79,1787088392.076
276,unsigned,,90.000,255,7,1787088392.168
276,signed,330276,129.000,3,79,1787088392.300
277,unsigned,,90.000,255,7,1787088392.393
277,signed,330277,128.000,3,79,1787088392.525
278,unsigned,,89.000,255,7,1787088392.618
278,signed,330278,131.000,3,79,1787088392.752
279,unsigned,,92.000,255,7,1787088392.847
279,signed,330279,126.000,3,79,1787088392.979
280,unsigned,,89.000,255,7,1787088393.071
280,signed,330280,129.000,3,79,1787088393.202
281,unsigned,,90.000,255,7,1787088393.294
281,signed,330281,127.000,3,79,1787088393.424
282,unsigned,,89.000,255,7,1787088393.516
282,signed,330282,126.000,3,79,1787088393.647
283,unsigned,,107.000,255,7,1787088393.756
283,signed,330283,132.000,3,79,1787088393.891
284,unsigned,,90.000,255,7,1787088393.985
284,signed,330284,127.000,3,79,1787088394.115
285,unsigned,,93.000,255,7,1787088394.212
285,signed,330285,128.000,3,79,1787088394.343
286,unsigned,,90.000,255,7,1787088394.436
286,signed,330286,131.000,3,79,1787088394.568
287,unsigned,,92.000,255,7,1787088394.663
287,signed,330287,130.000,3,79,1787088394.796
288,unsigned,,89.000,255,7,1787088394.888
288,signed,330288,134.000,3,79,1787088395.024
289,unsigned,,90.000,255,7,1787088395.118
289,signed,330289,140.000,3,79,1787088395.261
290,unsigned,,97.000,255,7,1787088395.360
290,signed,330290,126.000,3,79,1787088395.490
291,unsigned,,90.000,255,7,1787088395.583
291,signed,330291,128.000,3,79,1787088395.715
292,unsigned,,86.000,255,7,1787088395.805
292,signed,330292,132.000,3,79,1787088395.940
293,unsigned,,92.000,255,7,1787088396.035
293,signed,330293,144.000,3,79,1787088396.181
294,unsigned,,100.000,255,7,1787088396.283
294,signed,330294,129.000,3,79,1787088396.417
295,unsigned,,90.000,255,7,1787088396.510
295,signed,330295,129.000,3,79,1787088396.642
296,unsigned,,89.000,255,7,1787088396.735
296,signed,330296,130.000,3,79,1787088396.868
297,unsigned,,87.000,255,7,1787088396.958
297,signed,330297,131.000,3,79,1787088397.093
298,unsigned,,90.000,255,7,1787088397.186
298,signed,330298,128.000,3,79,1787088397.315
299,unsigned,,87.000,255,7,1787088397.406
299,signed,330299,131.000,3,79,1787088397.540
