seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
60,unsigned,,113.000,255,7,1787087561.102
60,signed,310060,158.000,3,79,1787087561.263
61,unsigned,,90.000,255,7,1787087561.355
61,signed,310061,138.000,3,79,1787087561.496
62,unsigned,,119.000,255,7,1787087561.617
62,signed,310062,138.000,3,79,1787087561.758
63,unsigned,,91.000,255,7,1787087561.852
63,signed,310063,144.000,3,79,1787087561.997
64,unsigned,,100.000,255,7,1787087562.101
64,signed,310064,226.000,3,79,1787087562.329
65,unsigned,,99.000,255,7,1787087562.431
65,signed,310065,136.000,3,79,1787087562.569
66,unsigned,,89.000,255,7,1787087562.661
66,signed,310066,143.000,3,79,1787087562.808
67,unsigned,,127.000,255,7,1787087562.938
67,signed,310067,127.000,3,79,1787087563.068
68,unsigned,,87.000,255,7,1787087563.158
68,signed,310068,147.000,3,79,1787087563.308
69,unsigned,,116.000,255,7,1787087563.427
69,signed,310069,139.000,3,79,1787087563.569
70,unsigned,,104.000,255,7,1787087563.675
70,signed,310070,136.000,3,79,1787087563.813
71,unsigned,,148.000,255,7,1787087563.964
71,signed,310071,139.000,3,79,1787087564.107
72,unsigned,,101.000,255,7,1787087564.210
72,signed,310072,147.000,3,79,1787087564.360
73,unsigned,,122.000,255,7,1787087564.483
73,signed,310073,154.000,3,79,1787087564.640
74,unsigned,,88.000,255,7,1787087564.731
74,signed,310074,160.000,3,79,1787087564.895
75,unsigned,,103.000,255,7,1787087565.000
75,signed,310075,150.000,3,79,1787087565.153
76,unsigned,,90.000,255,7,1787087565.246
76,signed,310076,137.000,3,79,1787087565.386
77,unsigned,,100.000,255,7,1787087565.487
77,signed,310077,134.000,3,79,1787087565.623
78,unsigned,,112.000,255,7,1787087565.737
78,signed,310078,129.000,3,79,1787087565.869
79,unsigned,,109.000,255,7,1787087565.980
79,signed,310079,150.000,3,79,1787087566.133
80,unsigned,,92.000,255,7,1787087566.228
80,signed,310080,162.000,3,79,1787087566.393
81,unsigned,,99.000,255,7,1787087566.495
81,signed,310081,153.000,3,79,1787087566.651
82,unsigned,,97.000,255,7,1787087566.751
82,signed,310082,157.000,3,79,1787087566.911
83,unsigned,,122.000,255,7,1787087567.036
83,signed,310083,130.000,3,79,1787087567.169
84,unsigned,,144.000,255,7,1787087567.314
84,signed,310084,146.000,3,79,1787087567.462
85,unsigned,,89.000,255,7,1787087567.553
85,signed,310085,136.000,3,79,1787087567.692
86,unsigned,,92.000,255,7,1787087567.785
86,signed,310086,138.000,3,79,1787087567.926
87,unsigned,,110.000,255,7,1787087568.037
87,signed,310087,159.000,3,79,1787087568.197
88,unsigned,,90.000,255,7,1787087568.289
88,signed,310088,171.000,3,79,1787087568.464
89,unsigned,,128.000,255,7,1787087568.595
89,signed,310089,151.000,3,79,1787087568.748
90,unsigned,,100.000,255,7,1787087568.850
90,signed,310090,137.000,3,79,1787087568.991
91,unsigned,,97.000,255,7,1787087569.092
91,signed,310091,151.000,3,79,1787087569.247
92,unsigned,,123.000,255,7,1787087569.372
92,signed,310092,160.000,3,79,1787087569.536
93,unsigned,,170.000,255,7,1787087569.707
93,signed,310093,150.000,3,79,1787087569.859
94,unsigned,,89.000,255,7,1787087569.951
94,signed,310094,164.000,3,79,1787087570.118
95,unsigned,,95.000,255,7,1787087570.215
95,signed,310095,139.000,3,79,1787087570.358
96,unsigned,,89.000,255,7,1787087570.449
96,signed,310096,136.000,3,79,1787087570.586
97,unsigned,,94.000,255,7,1787087570.682
97,signed,310097,160.000,3,79,1787087570.845
98,unsigned,,114.000,255,7,1787087570.962
98,signed,310098,154.000,3,79,1787087571.119
99,unsigned,,111.000,255,7,1787087571.232
99,signed,310099,136.000,3,79,1787087571.371
100,unsigned,,90.000,255,7,1787087571.464
100,signed,310100,158.000,3,79,1787087571.624
101,unsigned,,95.000,255,7,1787087571.720
101,signed,310101,135.000,3,79,1787087571.859
102,unsigned,,95.000,255,7,1787087571.955
102,signed,310102,128.000,3,79,1787087572.087
103,unsigned,,88.000,255,7,1787087572.177
103,signed,310103,151.000,3,79,1787087572.330
104,unsigned,,93.000,255,7,1787087572.426
104,signed,310104,132.000,3,79,1787087572.559
105,unsigned,,99.000,255,7,1787087572.661
105,signed,310105,139.000,3,79,1787087572.803
106,unsigned,,106.000,255,7,1787087572.912
106,signed,310106,131.000,3,79,1787087573.046
107,unsigned,,106.000,255,7,1787087573.155
107,signed,310107,137.000,3,79,1787087573.296
108,unsigned,,93.000,255,7,1787087573.390
108,signed,310108,137.000,3,79,1787087573.531
109,unsigned,,91.000,255,7,1787087573.624
109,signed,310109,146.000,3,79,1787087573.774
110,unsigned,,98.000,255,7,1787087573.875
110,signed,310110,132.000,3,79,1787087574.009
111,unsigned,,96.000,255,7,1787087574.107
111,signed,310111,131.000,3,79,1787087574.239
112,unsigned,,99.000,255,7,1787087574.340
112,signed,310112,128.000,3,79,1787087574.471
113,unsigned,,89.000,255,7,1787087574.563
113,signed,310113,199.000,3,79,1787087574.763
114,unsigned,,91.000,255,7,1787087574.857
114,signed,310114,148.000,3,79,1787087575.008
115,unsigned,,94.000,255,7,1787087575.103
115,signed,310115,141.000,3,79,1787087575.247
116,unsigned,,90.000,255,7,1787087575.339
116,signed,310116,132.000,3,79,1787087575.474
117,unsigned,,89.000,255,7,1787087575.565
117,signed,310117,130.000,3,79,1787087575.698
118,unsigned,,135.000,255,7,1787087575.835
118,signed,310118,147.000,3,79,1787087575.985
119,unsigned,,92.000,255,7,1787087576.079
119,signed,310119,128.000,3,79,1787087576.207
120,unsigned,,93.000,255,7,1787087576.303
120,signed,310120,166.000,3,79,1787087576.471
121,unsigned,,96.000,255,7,1787087576.570
121,signed,310121,140.000,3,79,1787087576.712
122,unsigned,,90.000,255,7,1787087576.805
122,signed,310122,144.000,3,79,1787087576.952
123,unsigned,,89.000,255,7,1787087577.043
123,signed,310123,140.000,3,79,1787087577.185
124,unsigned,,98.000,255,7,1787087577.286
124,signed,310124,129.000,3,79,1787087577.416
125,unsigned,,100.000,255,7,1787087577.519
125,signed,310125,190.000,3,79,1787087577.713
126,unsigned,,93.000,255,7,1787087577.809
126,signed,310126,148.000,3,79,1787087577.961
127,unsigned,,87.000,255,7,1787087578.051
127,signed,310127,139.000,3,79,1787087578.192
128,unsigned,,94.000,255,7,1787087578.288
128,signed,310128,150.000,3,79,1787087578.439
129,unsigned,,92.000,255,7,1787087578.533
129,signed,310129,156.000,3,79,1787087578.692
130,unsigned,,103.000,255,7,1787087578.797
130,signed,310130,142.000,3,79,1787087578.941
131,unsigned,,106.000,255,7,1787087579.048
131,signed,310131,132.000,3,79,1787087579.181
132,unsigned,,94.000,255,7,1787087579.279
132,signed,310132,155.000,3,79,1787087579.436
133,unsigned,,93.000,255,7,1787087579.532
133,signed,310133,145.000,3,79,1787087579.680
134,unsigned,,101.000,255,7,1787087579.782
134,signed,310134,136.000,3,79,1787087579.921
135,unsigned,,97.000,255,7,1787087580.021
135,signed,310135,147.000,3,79,1787087580.171
136,unsigned,,96.000,255,7,1787087580.269
136,signed,310136,149.000,3,79,1787087580.420
137,unsigned,,95.000,255,7,1787087580.517
137,signed,310137,150.000,3,79,1787087580.669
138,unsigned,,117.000,255,7,1787087580.786
138,signed,310138,137.000,3,79,1787087580.926
139,unsigned,,99.000,255,7,1787087581.028
139,signed,310139,127.000,3,79,1787087581.159
140,unsigned,,102.000,255,7,1787087581.263
140,signed,310140,136.000,3,79,1787087581.402
141,unsigned,,106.000,255,7,1787087581.511
141,signed,310141,134.000,3,79,1787087581.648
142,unsigned,,94.000,255,7,1787087581.744
142,signed,310142,166.000,3,79,1787087581.914
143,unsigned,,90.000,255,7,1787087582.006
143,signed,310143,129.000,3,79,1787087582.137
144,unsigned,,101.000,255,7,1787087582.240
144,signed,310144,177.000,3,79,1787087582.420
145,unsigned,,106.000,255,7,1787087582.528
145,signed,310145,145.000,3,79,1787087582.676
146,unsigned,,106.000,255,7,1787087582.785
146,signed,310146,145.000,3,79,1787087582.933
147,unsigned,,91.000,255,7,1787087583.026
147,signed,310147,133.000,3,79,1787087583.162
148,unsigned,,134.000,255,7,1787087583.299
148,signed,310148,137.000,3,79,1787087583.438
149,unsigned,,88.000,255,7,1787087583.530
149,signed,310149,132.000,3,79,1787087583.664
150,unsigned,,106.000,255,7,1787087583.773
150,signed,310150,220.000,3,79,1787087583.996
151,unsigned,,91.000,255,7,1787087584.089
151,signed,310151,150.000,3,79,1787087584.243
152,unsigned,,101.000,255,7,1787087584.347
152,signed,310152,139.000,3,79,1787087584.488
153,unsigned,,105.000,255,7,1787087584.596
153,signed,310153,131.000,3,79,1787087584.730
154,unsigned,,92.000,255,7,1787087584.823
154,signed,310154,135.000,3,79,1787087584.961
155,unsigned,,108.000,255,7,1787087585.072
155,signed,310155,128.000,3,79,1787087585.203
156,unsigned,,124.000,255,7,1787087585.330
156,signed,310156,169.000,3,79,1787087585.501
157,unsigned,,100.000,255,7,1787087585.604
157,signed,310157,147.000,3,79,1787087585.754
158,unsigned,,91.000,255,7,1787087585.847
158,signed,310158,244.000,3,79,1787087586.094
159,unsigned,,117.000,255,7,1787087586.214
159,signed,310159,144.000,3,79,1787087586.362
160,unsigned,,99.000,255,7,1787087586.463
160,signed,310160,146.000,3,79,1787087586.613
161,unsigned,,123.000,255,7,1787087586.739
161,signed,310161,173.000,3,79,1787087586.915
162,unsigned,,96.000,255,7,1787087587.014
162,signed,310162,144.000,3,79,1787087587.161
163,unsigned,,106.000,255,7,1787087587.270
163,signed,310163,154.000,3,79,1787087587.425
164,unsigned,,118.000,255,7,1787087587.546
164,signed,310164,132.000,3,79,1787087587.681
165,unsigned,,101.000,255,7,1787087587.785
165,signed,310165,177.000,3,79,1787087587.964
166,unsigned,,100.000,255,7,1787087588.067
166,signed,310166,140.000,3,79,1787087588.209
167,unsigned,,100.000,255,7,1787087588.312
167,signed,310167,162.000,3,79,1787087588.477
168,unsigned,,90.000,255,7,1787087588.569
168,signed,310168,142.000,3,79,1787087588.713
169,unsigned,,142.000,255,7,1787087588.857
169,signed,310169,152.000,3,79,1787087589.012
170,unsigned,,146.000,255,7,1787087589.161
170,signed,310170,149.000,3,79,1787087589.311
171,unsigned,,127.000,255,7,1787087589.439
171,signed,310171,147.000,3,79,1787087589.587
172,unsigned,,103.000,255,7,1787087589.693
172,signed,310172,227.000,3,79,1787087589.923
173,unsigned,,106.000,255,7,1787087590.032
173,signed,310173,259.000,3,79,1787087590.293
174,unsigned,,308.000,255,7,1787087590.603
174,signed,310174,196.000,3,79,1787087590.801
175,unsigned,,113.000,255,7,1787087590.917
175,signed,310175,161.000,3,79,1787087591.080
176,unsigned,,129.000,255,7,1787087591.211
176,signed,310176,148.000,3,79,1787087591.361
177,unsigned,,121.000,255,7,1787087591.482
177,signed,310177,160.000,3,79,1787087591.644
178,unsigned,,116.000,255,7,1787087591.763
178,signed,310178,147.000,3,79,1787087591.913
179,unsigned,,116.000,255,7,1787087592.031
