seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
60,unsigned,,29.043,255,7,1787092244.620
60,signed,430060,60.736,3,79,1787092244.681
61,unsigned,,29.045,255,7,1787092244.710
61,signed,430061,60.760,3,79,1787092244.771
62,unsigned,,29.025,255,7,1787092244.800
62,signed,430062,60.756,3,79,1787092244.861
63,unsigned,,44.057,255,7,1787092244.905
63,signed,430063,60.731,3,79,1787092244.966
64,unsigned,,29.044,255,7,1787092244.995
64,signed,430064,90.717,3,79,1787092245.086
65,unsigned,,29.042,255,7,1787092245.115
65,signed,430065,60.777,3,79,1787092245.176
66,unsigned,,29.017,255,7,1787092245.205
66,signed,430066,60.776,3,79,1787092245.266
67,unsigned,,29.001,255,7,1787092245.295
67,signed,430067,60.744,3,79,1787092245.356
68,unsigned,,29.021,255,7,1787092245.385
68,signed,430068,60.729,3,79,1787092245.446
69,unsigned,,29.090,255,7,1787092245.475
69,signed,430069,60.673,3,79,1787092245.536
70,unsigned,,29.088,255,7,1787092245.565
70,signed,430070,60.664,3,79,1787092245.626
71,unsigned,,29.084,255,7,1787092245.655
71,signed,430071,60.669,3,79,1787092245.716
72,unsigned,,29.039,255,7,1787092245.745
72,signed,430072,60.740,3,79,1787092245.806
73,unsigned,,29.049,255,7,1787092245.835
73,signed,430073,60.707,3,79,1787092245.896
74,unsigned,,29.044,255,7,1787092245.925
74,signed,430074,60.723,3,79,1787092245.986
75,unsigned,,29.031,255,7,1787092246.015
75,signed,430075,60.726,3,79,1787092246.076
76,unsigned,,29.019,255,7,1787092246.105
76,signed,430076,60.752,3,79,1787092246.166
77,unsigned,,29.031,255,7,1787092246.195
77,signed,430077,60.730,3,79,1787092246.256
78,unsigned,,29.047,255,7,1787092246.285
78,signed,430078,60.729,3,79,1787092246.346
79,unsigned,,29.049,255,7,1787092246.375
79,signed,430079,60.741,3,79,1787092246.436
80,unsigned,,29.044,255,7,1787092246.465
80,signed,430080,60.732,3,79,1787092246.526
81,unsigned,,29.049,255,7,1787092246.555
81,signed,430081,60.745,3,79,1787092246.616
82,unsigned,,29.040,255,7,1787092246.645
82,signed,430082,60.735,3,79,1787092246.706
83,unsigned,,29.044,255,7,1787092246.735
83,signed,430083,60.756,3,79,1787092246.796
84,unsigned,,29.048,255,7,1787092246.825
84,signed,430084,60.720,3,79,1787092246.886
85,unsigned,,29.045,255,7,1787092246.915
85,signed,430085,75.742,3,79,1787092246.991
86,unsigned,,29.055,255,7,1787092247.020
86,signed,430086,60.713,3,79,1787092247.081
87,unsigned,,29.065,255,7,1787092247.110
87,signed,430087,60.727,3,79,1787092247.171
88,unsigned,,29.064,255,7,1787092247.200
88,signed,430088,60.901,3,79,1787092247.261
89,unsigned,,28.879,255,7,1787092247.290
89,signed,430089,60.670,3,79,1787092247.351
90,unsigned,,29.055,255,7,1787092247.380
90,signed,430090,60.689,3,79,1787092247.441
91,unsigned,,29.069,255,7,1787092247.470
91,signed,430091,60.754,3,79,1787092247.531
92,unsigned,,29.020,255,7,1787092247.560
92,signed,430092,60.673,3,79,1787092247.621
93,unsigned,,29.063,255,7,1787092247.650
93,signed,430093,60.707,3,79,1787092247.711
94,unsigned,,29.004,255,7,1787092247.740
94,signed,430094,60.727,3,79,1787092247.801
95,unsigned,,29.067,255,7,1787092247.830
95,signed,430095,60.702,3,79,1787092247.891
96,unsigned,,29.067,255,7,1787092247.920
96,signed,430096,60.724,3,79,1787092247.981
97,unsigned,,29.055,255,7,1787092248.010
97,signed,430097,60.718,3,79,1787092248.071
98,unsigned,,29.066,255,7,1787092248.100
98,signed,430098,60.734,3,79,1787092248.161
99,unsigned,,29.061,255,7,1787092248.190
99,signed,430099,60.732,3,79,1787092248.251
100,unsigned,,29.011,255,7,1787092248.280
100,signed,430100,60.730,3,79,1787092248.341
101,unsigned,,29.036,255,7,1787092248.370
101,signed,430101,60.719,3,79,1787092248.431
102,unsigned,,29.060,255,7,1787092248.460
102,signed,430102,60.716,3,79,1787092248.521
103,unsigned,,29.063,255,7,1787092248.550
103,signed,430103,60.726,3,79,1787092248.611
104,unsigned,,29.243,255,7,1787092248.640
104,signed,430104,60.533,3,79,1787092248.701
105,unsigned,,29.059,255,7,1787092248.730
105,signed,430105,60.746,3,79,1787092248.791
106,unsigned,,29.039,255,7,1787092248.820
106,signed,430106,60.732,3,79,1787092248.881
107,unsigned,,29.049,255,7,1787092248.910
107,signed,430107,60.713,3,79,1787092248.971
108,unsigned,,29.613,255,7,1787092249.001
108,signed,430108,60.163,3,79,1787092249.061
109,unsigned,,29.059,255,7,1787092249.090
109,signed,430109,60.736,3,79,1787092249.151
110,unsigned,,29.039,255,7,1787092249.180
110,signed,430110,60.723,3,79,1787092249.241
111,unsigned,,29.066,255,7,1787092249.270
111,signed,430111,60.718,3,79,1787092249.331
112,unsigned,,29.086,255,7,1787092249.360
112,signed,430112,60.692,3,79,1787092249.421
113,unsigned,,29.051,255,7,1787092249.450
113,signed,430113,60.717,3,79,1787092249.511
114,unsigned,,29.052,255,7,1787092249.540
114,signed,430114,60.739,3,79,1787092249.601
115,unsigned,,29.050,255,7,1787092249.630
115,signed,430115,60.698,3,79,1787092249.691
116,unsigned,,29.057,255,7,1787092249.720
116,signed,430116,60.730,3,79,1787092249.781
117,unsigned,,29.059,255,7,1787092249.810
117,signed,430117,60.721,3,79,1787092249.871
118,unsigned,,29.047,255,7,1787092249.900
118,signed,430118,60.721,3,79,1787092249.961
119,unsigned,,29.062,255,7,1787092249.990
119,signed,430119,60.710,3,79,1787092250.051
120,unsigned,,29.069,255,7,1787092250.080
120,signed,430120,60.718,3,79,1787092250.141
121,unsigned,,29.072,255,7,1787092250.170
121,signed,430121,61.253,3,79,1787092250.232
122,unsigned,,28.532,255,7,1787092250.260
122,signed,430122,60.719,3,79,1787092250.321
123,unsigned,,29.065,255,7,1787092250.350
123,signed,430123,60.832,3,79,1787092250.411
124,unsigned,,28.939,255,7,1787092250.440
124,signed,430124,60.707,3,79,1787092250.501
125,unsigned,,29.012,255,7,1787092250.530
125,signed,430125,60.686,3,79,1787092250.591
126,unsigned,,29.069,255,7,1787092250.620
126,signed,430126,60.707,3,79,1787092250.681
127,unsigned,,29.067,255,7,1787092250.710
127,signed,430127,60.736,3,79,1787092250.771
128,unsigned,,29.065,255,7,1787092250.800
128,signed,430128,105.703,3,79,1787092250.906
129,unsigned,,29.051,255,7,1787092250.935
129,signed,430129,75.713,3,79,1787092251.011
130,unsigned,,29.043,255,7,1787092251.040
130,signed,430130,60.739,3,79,1787092251.101
131,unsigned,,29.047,255,7,1787092251.130
131,signed,430131,60.748,3,79,1787092251.191
132,unsigned,,29.044,255,7,1787092251.220
132,signed,430132,60.753,3,79,1787092251.281
133,unsigned,,29.031,255,7,1787092251.310
133,signed,430133,60.742,3,79,1787092251.371
134,unsigned,,29.046,255,7,1787092251.400
134,signed,430134,60.738,3,79,1787092251.461
135,unsigned,,29.052,255,7,1787092251.490
135,signed,430135,60.775,3,79,1787092251.551
136,unsigned,,28.997,255,7,1787092251.580
136,signed,430136,60.727,3,79,1787092251.641
137,unsigned,,29.040,255,7,1787092251.670
137,signed,430137,60.743,3,79,1787092251.731
138,unsigned,,29.064,255,7,1787092251.760
138,signed,430138,60.737,3,79,1787092251.821
139,unsigned,,29.029,255,7,1787092251.850
139,signed,430139,60.745,3,79,1787092251.911
140,unsigned,,29.036,255,7,1787092251.940
140,signed,430140,60.763,3,79,1787092252.001
141,unsigned,,29.021,255,7,1787092252.030
141,signed,430141,60.737,3,79,1787092252.091
142,unsigned,,29.044,255,7,1787092252.120
142,signed,430142,60.742,3,79,1787092252.181
143,unsigned,,29.044,255,7,1787092252.210
143,signed,430143,60.736,3,79,1787092252.271
144,unsigned,,29.043,255,7,1787092252.300
144,signed,430144,60.742,3,79,1787092252.361
145,unsigned,,29.049,255,7,1787092252.390
145,signed,430145,60.737,3,79,1787092252.451
146,unsigned,,29.067,255,7,1787092252.480
146,signed,430146,60.717,3,79,1787092252.541
147,unsigned,,29.041,255,7,1787092252.570
147,signed,430147,60.942,3,79,1787092252.631
148,unsigned,,28.840,255,7,1787092252.660
148,signed,430148,60.737,3,79,1787092252.721
149,unsigned,,29.055,255,7,1787092252.750
149,signed,430149,60.732,3,79,1787092252.811
150,unsigned,,29.005,255,7,1787092252.840
150,signed,430150,60.722,3,79,1787092252.901
151,unsigned,,29.040,255,7,1787092252.930
151,signed,430151,60.740,3,79,1787092252.991
152,unsigned,,29.047,255,7,1787092253.020
152,signed,430152,60.742,3,79,1787092253.081
153,unsigned,,29.041,255,7,1787092253.110
153,signed,430153,60.767,3,79,1787092253.171
154,unsigned,,29.017,255,7,1787092253.200
154,signed,430154,60.755,3,79,1787092253.261
155,unsigned,,29.041,255,7,1787092253.290
155,signed,430155,60.725,3,79,1787092253.351
156,unsigned,,29.061,255,7,1787092253.380
156,signed,430156,60.715,3,79,1787092253.441
157,unsigned,,29.037,255,7,1787092253.470
157,signed,430157,60.764,3,79,1787092253.531
158,unsigned,,29.022,255,7,1787092253.560
158,signed,430158,60.736,3,79,1787092253.621
159,unsigned,,29.044,255,7,1787092253.650
159,signed,430159,60.740,3,79,1787092253.711
160,unsigned,,29.040,255,7,1787092253.740
160,signed,430160,60.762,3,79,1787092253.801
161,unsigned,,29.045,255,7,1787092253.830
161,signed,430161,60.721,3,79,1787092253.891
162,unsigned,,29.048,255,7,1787092253.920
162,signed,430162,60.738,3,79,1787092253.981
163,unsigned,,29.043,255,7,1787092254.010
163,signed,430163,60.748,3,79,1787092254.071
164,unsigned,,29.038,255,7,1787092254.100
164,signed,430164,60.738,3,79,1787092254.161
165,unsigned,,29.042,255,7,1787092254.190
165,signed,430165,60.802,3,79,1787092254.251
166,unsigned,,28.981,255,7,1787092254.280
166,signed,430166,60.776,3,79,1787092254.341
167,unsigned,,29.003,255,7,1787092254.370
167,signed,430167,60.718,3,79,1787092254.431
168,unsigned,,29.047,255,7,1787092254.460
168,signed,430168,90.728,3,79,1787092254.551
169,unsigned,,29.069,255,7,1787092254.580
169,signed,430169,60.749,3,79,1787092254.641
170,unsigned,,29.168,255,7,1787092254.670
170,signed,430170,60.553,3,79,1787092254.731
171,unsigned,,29.050,255,7,1787092254.760
171,signed,430171,60.696,3,79,1787092254.821
172,unsigned,,29.088,255,7,1787092254.850
172,signed,430172,60.654,3,79,1787092254.911
173,unsigned,,29.080,255,7,1787092254.940
173,signed,430173,60.695,3,79,1787092255.001
174,unsigned,,29.050,255,7,1787092255.030
174,signed,430174,60.768,3,79,1787092255.091
175,unsigned,,28.967,255,7,1787092255.120
175,signed,430175,60.692,3,79,1787092255.181
176,unsigned,,29.066,255,7,1787092255.210
176,signed,430176,60.710,3,79,1787092255.271
177,unsigned,,29.069,255,7,1787092255.300
177,signed,430177,60.740,3,79,1787092255.361
178,unsigned,,29.040,255,7,1787092255.390
178,signed,430178,60.724,3,79,1787092255.451
179,unsigned,,29.060,255,7,1787092255.480
179,signed,430179,75.775,3,79,1787092255.556
180,unsigned,,29.002,255,7,1787092255.585
180,signed,430180,60.698,3,79,1787092255.646
181,unsigned,,29.045,255,7,1787092255.675
181,signed,430181,60.739,3,79,1787092255.736
182,unsigned,,29.062,255,7,1787092255.765
182,signed,430182,60.731,3,79,1787092255.826
183,unsigned,,29.050,255,7,1787092255.855
183,signed,430183,60.720,3,79,1787092255.916
184,unsigned,,29.039,255,7,1787092255.945
184,signed,430184,60.749,3,79,1787092256.006
185,unsigned,,29.035,255,7,1787092256.035
185,signed,430185,60.740,3,79,1787092256.096
186,unsigned,,29.043,255,7,1787092256.125
186,signed,430186,60.743,3,79,1787092256.186
187,unsigned,,28.994,255,7,1787092256.215
187,signed,430187,60.718,3,79,1787092256.276
188,unsigned,,29.044,255,7,1787092256.305
188,signed,430188,60.756,3,79,1787092256.366
189,unsigned,,29.027,255,7,1787092256.395
189,signed,430189,60.731,3,79,1787092256.456
190,unsigned,,29.050,255,7,1787092256.485
190,signed,430190,60.747,3,79,1787092256.546
191,unsigned,,29.035,255,7,1787092256.575
191,signed,430191,60.938,3,79,1787092256.636
192,unsigned,,28.855,255,7,1787092256.665
192,signed,430192,90.714,3,79,1787092256.756
193,unsigned,,29.079,255,7,1787092256.785
193,signed,430193,60.715,3,79,1787092256.846
194,unsigned,,29.054,255,7,1787092256.875
194,signed,430194,60.716,3,79,1787092256.936
195,unsigned,,29.061,255,7,1787092256.965
195,signed,430195,60.724,3,79,1787092257.026
196,unsigned,,29.065,255,7,1787092257.055
196,signed,430196,60.725,3,79,1787092257.116
197,unsigned,,29.062,255,7,1787092257.145
197,signed,430197,60.725,3,79,1787092257.206
198,unsigned,,29.059,255,7,1787092257.235
198,signed,430198,60.743,3,79,1787092257.296
199,unsigned,,29.054,255,7,1787092257.325
199,signed,430199,60.738,3,79,1787092257.386
200,unsigned,,29.002,255,7,1787092257.415
200,signed,430200,60.713,3,79,1787092257.476
201,unsigned,,29.066,255,7,1787092257.505
201,signed,430201,60.721,3,79,1787092257.566
202,unsigned,,29.069,255,7,1787092257.595
202,signed,430202,60.728,3,79,1787092257.656
203,unsigned,,29.045,255,7,1787092257.685
203,signed,430203,60.717,3,79,1787092257.746
204,unsigned,,29.087,255,7,1787092257.775
204,signed,430204,60.858,3,79,1787092257.836
205,unsigned,,28.919,255,7,1787092257.865
205,signed,430205,60.627,3,79,1787092257.926
206,unsigned,,29.051,255,7,1787092257.955
206,signed,430206,60.724,3,79,1787092258.016
207,unsigned,,29.041,255,7,1787092258.045
207,signed,430207,60.706,3,79,1787092258.106
208,unsigned,,29.085,255,7,1787092258.135
208,signed,430208,60.695,3,79,1787092258.196
209,unsigned,,29.052,255,7,1787092258.225
209,signed,430209,60.724,3,79,1787092258.286
210,unsigned,,29.064,255,7,1787092258.315
210,signed,430210,60.720,3,79,1787092258.376
211,unsigned,,29.058,255,7,1787092258.405
211,signed,430211,60.714,3,79,1787092258.466
212,unsigned,,29.071,255,7,1787092258.495
212,signed,430212,60.727,3,79,1787092258.556
213,unsigned,,29.060,255,7,1787092258.585
213,signed,430213,60.718,3,79,1787092258.646
214,unsigned,,29.068,255,7,1787092258.675
214,signed,430214,60.722,3,79,1787092258.736
215,unsigned,,29.081,255,7,1787092258.765
215,signed,430215,60.711,3,79,1787092258.826
216,unsigned,,29.042,255,7,1787092258.855
216,signed,430216,60.743,3,79,1787092258.916
217,unsigned,,29.037,255,7,1787092258.945
217,signed,430217,60.717,3,79,1787092259.006
218,unsigned,,29.069,255,7,1787092259.035
218,signed,430218,60.720,3,79,1787092259.096
219,unsigned,,29.069,255,7,1787092259.125
219,signed,430219,60.747,3,79,1787092259.186
220,unsigned,,29.041,255,7,1787092259.215
220,signed,430220,60.719,3,79,1787092259.276
221,unsigned,,29.066,255,7,1787092259.305
221,signed,430221,60.723,3,79,1787092259.366
222,unsigned,,29.069,255,7,1787092259.395
222,signed,430222,60.730,3,79,1787092259.456
223,unsigned,,29.058,255,7,1787092259.485
223,signed,430223,60.794,3,79,1787092259.546
224,unsigned,,28.994,255,7,1787092259.575
224,signed,430224,75.794,3,79,1787092259.651
225,unsigned,,28.911,255,7,1787092259.680
225,signed,430225,75.703,3,79,1787092259.756
226,unsigned,,29.051,255,7,1787092259.785
226,signed,430226,60.737,3,79,1787092259.846
227,unsigned,,29.010,255,7,1787092259.875
227,signed,430227,60.718,3,79,1787092259.936
228,unsigned,,29.034,255,7,1787092259.965
228,signed,430228,60.739,3,79,1787092260.026
229,unsigned,,29.054,255,7,1787092260.055
229,signed,430229,60.732,3,79,1787092260.116
230,unsigned,,29.034,255,7,1787092260.145
230,signed,430230,60.739,3,79,1787092260.206
231,unsigned,,29.049,255,7,1787092260.235
231,signed,430231,60.762,3,79,1787092260.296
232,unsigned,,29.013,255,7,1787092260.325
232,signed,430232,60.728,3,79,1787092260.386
233,unsigned,,29.057,255,7,1787092260.415
233,signed,430233,60.712,3,79,1787092260.476
234,unsigned,,29.039,255,7,1787092260.505
234,signed,430234,60.746,3,79,1787092260.566
235,unsigned,,29.048,255,7,1787092260.595
235,signed,430235,60.739,3,79,1787092260.656
236,unsigned,,29.048,255,7,1787092260.685
236,signed,430236,60.741,3,79,1787092260.746
237,unsigned,,29.063,255,7,1787092260.775
237,signed,430237,60.744,3,79,1787092260.836
238,unsigned,,44.049,255,7,1787092260.880
238,signed,430238,60.697,3,79,1787092260.941
239,unsigned,,29.063,255,7,1787092260.970
239,signed,430239,60.735,3,79,1787092261.031
240,unsigned,,29.042,255,7,1787092261.060
240,signed,430240,60.721,3,79,1787092261.121
241,unsigned,,29.065,255,7,1787092261.150
241,signed,430241,60.716,3,79,1787092261.211
242,unsigned,,29.062,255,7,1787092261.240
242,signed,430242,60.725,3,79,1787092261.301
243,unsigned,,29.067,255,7,1787092261.330
243,signed,430243,60.722,3,79,1787092261.391
244,unsigned,,29.063,255,7,1787092261.420
244,signed,430244,60.741,3,79,1787092261.481
245,unsigned,,29.063,255,7,1787092261.510
245,signed,430245,60.712,3,79,1787092261.571
246,unsigned,,29.066,255,7,1787092261.600
246,signed,430246,60.727,3,79,1787092261.661
247,unsigned,,29.051,255,7,1787092261.690
247,signed,430247,60.732,3,79,1787092261.751
248,unsigned,,29.053,255,7,1787092261.780
248,signed,430248,60.711,3,79,1787092261.841
249,unsigned,,29.046,255,7,1787092261.870
249,signed,430249,60.722,3,79,1787092261.931
250,unsigned,,29.018,255,7,1787092261.960
250,signed,430250,60.718,3,79,1787092262.021
251,unsigned,,29.064,255,7,1787092262.050
251,signed,430251,60.718,3,79,1787092262.111
252,unsigned,,29.067,255,7,1787092262.140
252,signed,430252,90.723,3,79,1787092262.231
253,unsigned,,29.044,255,7,1787092262.260
253,signed,430253,60.751,3,79,1787092262.321
254,unsigned,,29.046,255,7,1787092262.350
254,signed,430254,60.756,3,79,1787092262.411
255,unsigned,,29.045,255,7,1787092262.440
255,signed,430255,60.756,3,79,1787092262.501
256,unsigned,,29.026,255,7,1787092262.530
256,signed,430256,90.760,3,79,1787092262.621
257,unsigned,,29.018,255,7,1787092262.650
257,signed,430257,60.740,3,79,1787092262.711
258,unsigned,,29.046,255,7,1787092262.740
258,signed,430258,60.758,3,79,1787092262.801
259,unsigned,,29.024,255,7,1787092262.830
259,signed,430259,60.753,3,79,1787092262.891
260,unsigned,,29.022,255,7,1787092262.920
260,signed,430260,60.734,3,79,1787092262.981
261,unsigned,,29.045,255,7,1787092263.010
261,signed,430261,60.762,3,79,1787092263.071
262,unsigned,,29.035,255,7,1787092263.100
262,signed,430262,60.744,3,79,1787092263.161
263,unsigned,,29.044,255,7,1787092263.190
263,signed,430263,60.777,3,79,1787092263.251
264,unsigned,,28.990,255,7,1787092263.280
264,signed,430264,60.737,3,79,1787092263.341
265,unsigned,,29.040,255,7,1787092263.370
265,signed,430265,75.747,3,79,1787092263.446
