seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
60,unsigned,,105.000,255,7,1787000273.998
60,signed,200060,143.000,3,79,1787000274.144
61,unsigned,,103.000,255,7,1787000274.250
61,signed,200061,145.000,3,79,1787000274.397
62,unsigned,,102.000,255,7,1787000274.502
62,signed,200062,157.000,3,79,1787000274.661
63,unsigned,,104.000,255,7,1787000274.769
63,signed,200063,144.000,3,79,1787000274.917
64,unsigned,,101.000,255,7,1787000275.021
64,signed,200064,240.000,3,79,1787000275.265
65,unsigned,,104.000,255,7,1787000275.372
65,signed,200065,142.000,3,79,1787000275.517
66,unsigned,,100.000,255,7,1787000275.620
66,signed,200066,142.000,3,79,1787000275.765
67,unsigned,,112.000,255,7,1787000275.880
67,signed,200067,144.000,3,79,1787000276.028
68,unsigned,,100.000,255,7,1787000276.132
68,signed,200068,141.000,3,79,1787000276.276
69,unsigned,,106.000,255,7,1787000276.385
69,signed,200069,144.000,3,79,1787000276.533
70,unsigned,,99.000,255,7,1787000276.636
70,signed,200070,142.000,3,79,1787000276.780
71,unsigned,,106.000,255,7,1787000276.889
71,signed,200071,146.000,3,79,1787000277.038
72,unsigned,,101.000,255,7,1787000277.142
72,signed,200072,142.000,3,79,1787000277.287
73,unsigned,,103.000,255,7,1787000277.394
73,signed,200073,146.000,3,79,1787000277.544
74,unsigned,,103.000,255,7,1787000277.650
74,signed,200074,143.000,3,79,1787000277.796
75,unsigned,,103.000,255,7,1787000277.902
75,signed,200075,142.000,3,79,1787000278.047
76,unsigned,,103.000,255,7,1787000278.153
76,signed,200076,184.000,3,79,1787000278.341
77,unsigned,,105.000,255,7,1787000278.448
77,signed,200077,142.000,3,79,1787000278.593
78,unsigned,,106.000,255,7,1787000278.702
78,signed,200078,142.000,3,79,1787000278.847
79,unsigned,,102.000,255,7,1787000278.953
79,signed,200079,139.000,3,79,1787000279.094
80,unsigned,,104.000,255,7,1787000279.201
80,signed,200080,257.000,3,79,1787000279.462
81,unsigned,,105.000,255,7,1787000279.570
81,signed,200081,144.000,3,79,1787000279.718
82,unsigned,,104.000,255,7,1787000279.824
82,signed,200082,150.000,3,79,1787000279.977
83,unsigned,,103.000,255,7,1787000280.083
83,signed,200083,144.000,3,79,1787000280.230
84,unsigned,,101.000,255,7,1787000280.335
84,signed,200084,147.000,3,79,1787000280.484
85,unsigned,,104.000,255,7,1787000280.590
85,signed,200085,142.000,3,79,1787000280.736
86,unsigned,,124.000,255,7,1787000280.863
86,signed,200086,149.000,3,79,1787000281.015
87,unsigned,,108.000,255,7,1787000281.127
87,signed,200087,143.000,3,79,1787000281.274
88,unsigned,,103.000,255,7,1787000281.380
88,signed,200088,146.000,3,79,1787000281.529
89,unsigned,,102.000,255,7,1787000281.635
89,signed,200089,139.000,3,79,1787000281.778
90,unsigned,,100.000,255,7,1787000281.881
90,signed,200090,142.000,3,79,1787000282.027
91,unsigned,,106.000,255,7,1787000282.135
91,signed,200091,148.000,3,79,1787000282.286
92,unsigned,,101.000,255,7,1787000282.391
92,signed,200092,143.000,3,79,1787000282.537
93,unsigned,,106.000,255,7,1787000282.646
93,signed,200093,144.000,3,79,1787000282.793
94,unsigned,,105.000,255,7,1787000282.900
94,signed,200094,144.000,3,79,1787000283.047
95,unsigned,,103.000,255,7,1787000283.152
95,signed,200095,142.000,3,79,1787000283.297
96,unsigned,,105.000,255,7,1787000283.405
96,signed,200096,143.000,3,79,1787000283.552
97,unsigned,,107.000,255,7,1787000283.659
97,signed,200097,148.000,3,79,1787000283.809
